DATE,CUURA320SEHA_PCH
7/1/2015,0.96018
10/1/2015,1.04696
1/1/2016,1.02295
4/1/2016,1.52611
7/1/2016,1.42735
10/1/2016,1.69596
1/1/2017,0.82847
4/1/2017,0.77344
7/1/2017,1.26764
10/1/2017,0.78707
1/1/2018,0.50939
4/1/2018,0.99051
7/1/2018,0.71253
10/1/2018,1.10037
1/1/2019,1.81043
4/1/2019,1.00952
7/1/2019,0.17853
10/1/2019,0.07226
1/1/2020,0.28304
4/1/2020,0.51884
7/1/2020,0.71691
10/1/2020,0.79158
1/1/2021,0.07197
4/1/2021,0.32875
7/1/2021,1.0735
10/1/2021,1.85133
1/1/2022,3.24527
4/1/2022,4.19339
7/1/2022,4.35972
10/1/2022,4.63546
1/1/2023,4.15182
,
