DATE,MELIPRMSA33100_PCH
9/1/2018,-0.31348
10/1/2018,-0.62893
11/1/2018,0
12/1/2018,-1.26582
1/1/2019,0
2/1/2019,0
3/1/2019,0.98901
4/1/2019,1.30577
5/1/2019,0.22556
6/1/2019,0.02376
7/1/2019,0.00125
8/1/2019,-0.06818
9/1/2019,-0.10234
10/1/2019,-0.00569
11/1/2019,0.1514
12/1/2019,0
1/1/2020,-0.22506
2/1/2020,0.22556
3/1/2020,0.0125
4/1/2020,-1.23765
5/1/2020,-1.26582
6/1/2020,2.30769
7/1/2020,0.11278
8/1/2020,0.11265
9/1/2020,0.02501
10/1/2020,1.25
11/1/2020,-1.23457
12/1/2020,-0.00025
1/1/2021,-0.24975
2/1/2021,-0.75188
3/1/2021,0.69444
4/1/2021,3.32288
5/1/2021,4.12621
6/1/2021,4.662
7/1/2021,1.44766
8/1/2021,0.87816
9/1/2021,1.73014
10/1/2021,2.65269
11/1/2021,0.55226
12/1/2021,1.96891
1/1/2022,0.60976
2/1/2022,5.54545
3/1/2022,4.2205
4/1/2022,5.96878
5/1/2022,7.79896
6/1/2022,0.48232
7/1/2022,-0.8
8/1/2022,-2.54032
9/1/2022,-0.86885
10/1/2022,0
11/1/2022,0
12/1/2022,-0.66778
1/1/2023,0
2/1/2023,0.67227
3/1/2023,0.07412
4/1/2023,0.92686
5/1/2023,0.48678
6/1/2023,-0.49696
7/1/2023,-0.48498
8/1/2023,-0.33065
9/1/2023,-0.16658
