DATE,CUURA320SEHA_PCH
9/1/2018,0.29372
10/1/2018,0.51097
11/1/2018,0.42247
12/1/2018,0.13885
1/1/2019,1.02222
2/1/2019,0.60706
3/1/2019,0.42119
4/1/2019,0.29263
5/1/2019,0.10556
6/1/2019,0.48277
7/1/2019,-0.24703
8/1/2019,0.0751
9/1/2019,0.05923
10/1/2019,0.0282
11/1/2019,0.07839
12/1/2019,-0.21795
1/1/2020,0.36704
2/1/2020,-0.08192
3/1/2020,0.27102
4/1/2020,0.23449
5/1/2020,0.30936
6/1/2020,-0.22709
7/1/2020,0.26328
8/1/2020,0.53377
9/1/2020,0.43421
10/1/2020,0.12335
11/1/2020,0.17236
12/1/2020,0.25445
1/1/2021,0.03928
2/1/2021,-0.42677
3/1/2021,0.2733
4/1/2021,0.14913
5/1/2021,0.10964
6/1/2021,0.20064
7/1/2021,0.26318
8/1/2021,0.45649
9/1/2021,0.99315
10/1/2021,0.52188
11/1/2021,0.43731
12/1/2021,0.64153
1/1/2022,1.25011
2/1/2022,1.5391
3/1/2022,1.07569
4/1/2022,1.01966
5/1/2022,2.18526
6/1/2022,1.28437
7/1/2022,1.5971
8/1/2022,1.11671
9/1/2022,1.13752
10/1/2022,1.85975
11/1/2022,1.59903
12/1/2022,1.52024
1/1/2023,0.85191
2/1/2023,1.97929
3/1/2023,1.14097
4/1/2023,1.28443
5/1/2023,0.77712
6/1/2023,0.92613
7/1/2023,0.99993
8/1/2023,0.28257
9/1/2023,0.33881
