DATE,CUURA320SEHA_PCH
2016-09-01,0.40952
2016-10-01,0.78520
2016-11-01,0.40983
2016-12-01,0.38350
2017-01-01,0.06242
2017-02-01,0.40430
2017-03-01,0.30726
2017-04-01,0.12659
2017-05-01,0.35225
2017-06-01,0.21222
2017-07-01,0.60574
2017-08-01,0.47011
2017-09-01,0.25341
2017-10-01,0.31547
2017-11-01,0.24536
2017-12-01,-0.05707
2018-01-01,0.17559
2018-02-01,0.33047
2018-03-01,0.20689
2018-04-01,0.34902
2018-05-01,0.30176
2018-06-01,0.56621
2018-07-01,0.01230
2018-08-01,0.18549
2018-09-01,0.29372
2018-10-01,0.51097
2018-11-01,0.42247
2018-12-01,0.13885
2019-01-01,1.02222
2019-02-01,0.60706
2019-03-01,0.42119
2019-04-01,0.29263
2019-05-01,0.10556
2019-06-01,0.48277
2019-07-01,-0.24703
2019-08-01,0.07510
2019-09-01,0.05923
2019-10-01,0.02820
2019-11-01,0.07839
2019-12-01,-0.21795
2020-01-01,0.36704
2020-02-01,-0.08192
2020-03-01,0.27102
2020-04-01,0.23449
2020-05-01,0.30936
2020-06-01,-0.22709
2020-07-01,0.26328
2020-08-01,0.53377
2020-09-01,0.43421
2020-10-01,0.12335
2020-11-01,0.17236
2020-12-01,0.25445
2021-01-01,0.03928
2021-02-01,-0.42677
2021-03-01,0.27330
2021-04-01,0.14913
2021-05-01,0.10964
2021-06-01,0.20064
2021-07-01,0.26318
2021-08-01,0.45649
2021-09-01,0.99315
2021-10-01,0.52188
2021-11-01,0.43731
2021-12-01,0.64153
2022-01-01,1.25011
2022-02-01,1.53910
2022-03-01,1.07569
2022-04-01,1.01966
2022-05-01,2.18526
2022-06-01,1.28437
2022-07-01,1.59710
2022-08-01,1.11671
2022-09-01,1.13752
2022-10-01,1.85975
2022-11-01,1.59903
2022-12-01,1.52024
2023-01-01,0.85191
2023-02-01,1.97929
2023-03-01,1.14097
2023-04-01,1.28443
2023-05-01,0.77712
2023-06-01,0.92613
2023-07-01,0.99993
2023-08-01,0.28257
2023-09-01,0.33881
